region,hike,link,distanz,wanderzeit,aufsteig,absteig,empfohlenesaison,technikRating,panoramicRating,gesamterlebnisRating,besondereerlebnisse,standort,anreise_OEV,zielort,ruckreise_OEV,verpflegung
Zentralschweiz,"HöhenwanderungvomBrienzerRothornüberdenArnihaaggen",http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Brienzer%20Rothorn-Arnihaaggen-Gibel-Br%C3%BCnigpass.html?tour=301,"11 km",4Std.,221m,1511m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Dampfbahn aufs Brienzer Rothorn, Panorama","Brienzer Rothorn","Brienzer Rothorn LSBR","Bahnhof Brünig-Hasliberg","Brünig-Hasliberg","Brienzer Rothorn, Brünigpass"
"Berner Oberland","HöhenwanderungderExtraklasseübersFaulhorn",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Schynige%20Platte-Faulhorn-First.html?tour=208,"15 km",5Std.20Min.,871m,660m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Alpengarten auf der Schynigen Platte, Ausblicke auf die Berner Alpenwelt","Station Schynige Platte","Schynige Platte","Seilbahnstation Grindelwald-First",First,"Schynige Platte, Berghaus Männdlenen, Faulhorn, First"
"Berner Oberland","WanderungTriftbrücke",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Underi%20Trift%20Triftbr%C3%BCcke%20Windeggh%C3%BCtte%20SAC%20Underi%20Trift.html?tour=836,"6 km",3Std.,350m,350m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","5 (das Beste vom Besten)","",Schwendi,Schwendi,Schwendi,www.windegghuette.ch,http://www.haslital.ch/de/page.cfm/Unterkunft
"Berner Oberland","GstaadHöhiWispile-Chrine-Lauenensee",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Gstaad%20H%C3%B6hi%20Wispile-Chrine-Lauenensee.html?tour=977,"14 km",4Std.,154m,820m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","3 (empfehlenswerte Tour)","Diverse Aktivitäten auf der Wispile, Bootsvermietung im Restaurant Lauenensee","Gstaad, Bergstation Wispile",Gstaad,"Bushaltestelle Lauenensee",Lauenensee,"Bergrestaurant Wispile, Restaurant Lauenensee"
"Berner Oberland","HöhenwanderungaufdemNiederhorn",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Niederhorn-Gemmenalphorn-Gemmenalp.html?tour=330,"7 km",3Std.5Min.,380m,380m,"Juni - November","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Ausblicke auf Eiger, Mönch und Jungfrau","Seilbahnstation Niederhorn",Niederhorn,"Seilbahnstation Niederhorn",Niederhorn,Niederhorn
"Berner Oberland","PanoramawanderunghochüberAdelboden",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Sillerenb%C3%BChl-Hahnenmoos-B%C3%BCtschi-Bergl%C3%A4ger.html?tour=871,"10 km",3Std.10Min.,238m,725m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","","Sillerenbühl","Seilbahnstation Bergläger","Adelboden, Bärglager Stat. ASB","Sillerenbühl, Hahnenmoos, Bütschi",Adelboden
"Berner Oberland",WanderungGelmersee,http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Gelmerbahn-Gelmersee-Ch%C3%BCenzentennlen-Handegg%20St%C3%A4felti-S%C3%A4umerstein-Widmannsh%C3%B6he-Handegg.html?tour=830,"9 km",3Std.50Min.,50m,250m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","",Gelmerbahn,Handegg,Handegg,http://www.haslital.ch/de/page.cfm/Unterkunft,"Tourist Center Grimseltor
Grimselstrasse 2
3862 Innertkirchen
Tel. +41 (0)33 982 26 60
Fax +41 (0)33 982 26 65
info@haslital.ch 
www.haslital.ch www.grimselwelt.ch"
"Berner Oberland","BergwanderunghochüberdemOeschinensee",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Oeschinen-Oberb%C3%A4rgli-Unterb%C3%A4rgli.html?tour=341,"8 km",3Std.20Min.,475m,475m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","5 (das Beste vom Besten)","Oeschinensee, Panorama","Station Oeschinen",Oeschinen,"Station Oeschinen",Oeschinen,"Station Oeschinen, Oberbärgli, Unterbärgli, Läger"
"Berner Oberland","HöhenwanderungvomGurnigelzumStockhorn",http://www.wanderungen.ch/de/touren/wanderungen/berneroberland/Gurnigel-Leiterenpass-Stockhorn.html?tour=23,"11 km",4Std.30Min.,909m,352m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Rundsicht vom Stockhorn","Bushaltestelle Gurnigel Wasserscheide","Gurnigel, Wasserscheide","Bergstation Stockhorn",Stockhorn,"Restaurant Obernünenen, Bergrestaurant Stockhorn"
"Graubünden","HöhenwanderungmitAusblickenaufSilvaplaner-undSilsersee",http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Murt%C3%A8l-Hahnensee-Surlej.html?tour=233,"10 km",3Std.10Min.,92m,922m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Ausblicke auf die Engadiner Seen, Hahnensee","Seilbahnstation Murtèl (Mittelstation Corvatschbahn)","Murtèl","Talstation Corvatschbahn, Surlej","Surlej, Corvatschbahn","Murtèl, Hahnensee, Surlej"
"Graubünden",BergwanderungimNationalpark,http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Ofenpass-Alp%20Buffalora-Il%20Fuorn.html?tour=239,"13 km",4Std.20Min.,454m,809m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Schweizer Nationalpark","Bushaltestelle Ofenpass","Süsom Givè (Passhöhe)","Bushaltestelle Il Fuorn","Il Fuorn","Ofenpass, Il Fuorn"
"Graubünden","PanoramawanderunghochüberPontresina",http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Alp%20Languard-Muottas%20Muragl.html?tour=237,"7 km",2Std.30Min.,293m,163m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Ausblicke auf Oberengadiner Seen- und Berglandschaft","Alp Languard (Sessellift Pontresina - Alp Languard)","Alp Languard","Muottas Muragl (Standseilbahn Muottas Muragl - Punt Muragl)","Muottas Muragl","Alp Languard, Unterer Schafberg, Muottas Muragl"
"Graubünden",BergwanderungzurDreifach-WasserscheideamPassLunghin,http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Maloja-Pass%20Lunghin-Pass%20da%20Sett-Bivio.html?tour=234,"14 km",5Std.30Min.,849m,894m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Lunghinsee (Inn-Quelle), dreifache Wasserscheide Pass Lunghin","Bushaltestelle Maloja Posta","Maloja, Posta","Bushaltestelle Bivio Posta","Bivio, Posta","Maloja, Bivio"
"Graubünden",BergwanderungzurRheinquelleamTomasee,http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Oberalppass-Tomasee-Maighelsh%C3%BCtte.html?tour=305,"12 km",4Std.,599m,599m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Tomasee, Alpenflora","Station Oberalppass",Oberalppass,"Station Oberalppass",Oberalppass,"Oberalppass, Maighelshütte"
